,0
175,1230090700
176,1230090700
177,1020001302
178,1020001302
179,1240045100
180,1240045100
181,1150012501
182,1150012501
183,1180099000
184,1180099000
185,1230093300
186,1230093300
187,1070006801
188,1070006801
189,1100011101
190,1100011101
191,1140284501
192,1140284501
193,1180097400
194,1180097400
195,1020012601
196,1020012601
197,1120064100
198,1120064100
199,1080002901
200,1080002901
201,1210021605
202,1210021605
203,1240042200
204,1240042200
205,1210005301
206,1210005301
207,1070019201
208,1070019201
209,1040032700
210,1160038100
211,1160038100
212,1130042300
213,1130042300
214,1110086300
215,1110086300
216,1040032700
217,1040032700
218,1130001606
219,1130001606
220,1030001300
221,1030001300
222,1110008001
223,1110008001
224,1140060400
225,1140060400
226,1180133001
227,1180133001
228,1220005601
229,1220005601
230,1140068200
231,1140068200
232,1000028600
233,1000028600
234,1030001300
235,1030001300
236,1100002502
237,1100002502
238,1090047801
239,1090047801
240,1050004104
241,1050004104
242,1030031500
243,1050018802
244,1050018802
245,1030022500
246,1030022500
247,1210030803
248,1210030803
249,1220000803
250,1220000803
251,1050011000
252,1050011000
253,1210017602
254,1220342600
255,1220342600
256,1200010501
257,1040012000
258,1210048000
259,1210048000
260,1210044802
261,1210044802
262,1220019701
263,1210016204
264,1210016204
265,1220019701
266,1060000700
267,1060000700
268,1210023801
269,1210023801
270,1000034300
271,1000034300
272,1010005202
273,1010005202
274,1180001403
275,1180001403
276,1220001803
277,1220001803
278,1160003401
279,1160003401
280,1190000200
281,1190000200
282,1170007105
283,1170007105
284,1070003302
285,1070003302
286,1080012402
287,1080012402
288,1210021301
289,1210021301
290,1070014700
291,1070014700
292,1190000200
293,1190000200
294,1100002502
295,1100002502
296,1050035900
297,1050035900
298,1180103800
299,1180103800
300,1000048200
301,1000048200
302,1110087000
303,1110087000
304,1180003003
305,1120030700
306,1120030700
307,1000001605
308,1000001605
309,1140284401
310,1140284401
311,1180118400
312,1180118400
313,1030001402
314,1030001402
315,1130004101
316,1130004101
317,1090047801
318,1090047801
319,1130010904
320,1130010904
321,1130003701
322,1130003701
323,1000029000
324,1070007403
325,1070007403
326,1030041800
327,1130012604
328,1130012604
329,1050059900
330,1050059900
331,1130002302
332,1130002302
333,1220016002
334,1220016002
335,1060024600
336,1060024600
337,1150018600
338,1150018600
339,1080013103
340,1080013103
341,1110086300
342,1080013002
343,1080013002
344,1110086300
345,1050003704
346,1050003704
347,1180104500
348,1180104500
349,1180104500
350,1180104500
351,1050004502
352,1050004502
353,1130002302
354,1130002302
355,1180016203
356,1180016203
